FIELD	COUNT	DESC
NumReadsTruncated_75pct_R2	176796	Number of read-2 reads that are truncated to less than 75% of the max length
READ_LENGTH	150	The read length.
COMPLETED_WITHOUT_WARNING	0	0 if complete without throwing any warnings. 1 if warnings were thrown.
QoRTs_initTimeStamp	1713537857277	Time stamp for when QoRTs QC began.
QoRTs_samDoneTimeStamp	1713542802140	Time stamp for when QoRTs QC finished SAM iteration.
QoRTs_majorVer	1	QoRTs major version number
QoRTs_minorVer	3	QoRTs minor version number
QoRTs_patchVer	6	QoRTs patch version number
QoRTs_compileTimeStamp	1537888906	The timestamp for when the version of QoRTs was built.
COMPLETED_WITHOUT_ERROR	1	1 if QoRTs completed without errors. If QoRTs encountered an error, this file should not exist.
